C,gamma,mae_train,mae_test
0.001,1e-08,0.6068249093634812,0.6289321481366593
0.001,1e-07,0.6035231537756209,0.6254666674046196
0.001,1e-06,0.6005504479676631,0.6229160517309041
0.001,1e-05,0.6038942133284178,0.6270448619155485
0.001,0.0001,0.6060874259215555,0.6290800332499725
0.001,0.001,0.6065942814791605,0.6296352716619041
0.001,0.01,0.6066912482059874,0.6297489390784102
0.01,1e-08,0.6004976698162494,0.6221255213437098
0.01,1e-07,0.573354786888725,0.5949666564796868
0.01,1e-06,0.55122575433562,0.5816234111615683
0.01,1e-05,0.5761237863370282,0.6065434870095875
0.01,0.0001,0.5931366592494989,0.6231778611206302
0.01,0.001,0.597779242640269,0.6286626169801935
0.01,0.01,0.5987587436106704,0.6298530962825966
0.1,1e-08,0.5607822004353352,0.5833782175259591
0.1,1e-07,0.5190896799910416,0.5297735014854348
0.1,1e-06,0.48100647933233953,0.5104075667726539
0.1,1e-05,0.46278644025186877,0.529050022667986
0.1,0.0001,0.49618028310438456,0.5892807626495508
0.1,0.001,0.5189642384358337,0.620931833493674
0.1,0.01,0.526067036989841,0.6302220199727557
1.0,1e-08,0.5294075852682009,0.5468180000234144
1.0,1e-07,0.49108073687750897,0.496070678949899
1.0,1e-06,0.4426712641053451,0.48773356674323703
1.0,1e-05,0.34695276303394507,0.4850801509999182
1.0,0.0001,0.2149610526434638,0.5300587007711007
1.0,0.001,0.13997632637818075,0.6311931889135742
1.0,0.01,0.13864595068989846,0.6513386108905841
10.0,1e-08,0.5075185040280323,0.5170154686364464
10.0,1e-07,0.45894411518287526,0.4757962966909275
10.0,1e-06,0.3898466197843653,0.4606028711432527
10.0,1e-05,0.23671043535584307,0.46985123721910343
10.0,0.0001,0.11209552028930608,0.5721583614491461
10.0,0.001,0.0954478060889123,0.6320722095108671
10.0,0.01,0.09606540251519399,0.6573653112932206
100.0,1e-08,0.4798515872094337,0.49200310197715963
100.0,1e-07,0.4110912410342202,0.4449049974039273
100.0,1e-06,0.30530500349980505,0.4666132730378668
100.0,1e-05,0.16274043837751592,0.4987456830506166
100.0,0.0001,0.09747947619783207,0.6224526640886228
100.0,0.001,0.0954478060889123,0.6320722095108671
100.0,0.01,0.09606540251519399,0.6573653112932206
1000.0,1e-08,0.4202500660769777,0.4544450894949995
1000.0,1e-07,0.32282969247129994,0.41092059465185105
1000.0,1e-06,0.22704664796732474,0.5470664712178099
1000.0,1e-05,0.11947236071385216,0.5633274575635693
1000.0,0.0001,0.09473222125193873,0.6322090209498354
1000.0,0.001,0.0954478060889123,0.6320722095108671
1000.0,0.01,0.09606540251519399,0.6573653112932206
10000.0,1e-08,0.3341942985621121,0.3821961940141583
10000.0,1e-07,0.27219871086093433,0.433772441302543
10000.0,1e-06,0.18538854082143255,0.5834034789858956
10000.0,1e-05,0.09852272802999294,0.7159510928885915
10000.0,0.0001,0.09473222125193873,0.6322090209498354
10000.0,0.001,0.0954478060889123,0.6320722095108671
10000.0,0.01,0.09606540251519399,0.6573653112932206
100000.0,1e-08,0.28809585060403736,0.3884560120924399
100000.0,1e-07,0.24463020493895923,0.42300246127248
100000.0,1e-06,0.14559795087963806,0.7530035875178414
100000.0,1e-05,0.09328338305135522,0.8246982004359019
100000.0,0.0001,0.09473222125193873,0.6322090209498354
100000.0,0.001,0.0954478060889123,0.6320722095108671
100000.0,0.01,0.09606540251519399,0.6573653112932206
1000000.0,1e-08,0.2873861890130128,0.4148531715879331
1000000.0,1e-07,0.23964923667178,0.6659717500064837
1000000.0,1e-06,0.1281577607877084,1.230351296696699
1000000.0,1e-05,0.0947901549330958,0.8556367481274947
1000000.0,0.0001,0.09473222125193873,0.6322090209498354
1000000.0,0.001,0.0954478060889123,0.6320722095108671
1000000.0,0.01,0.09606540251519399,0.6573653112932206
