hidden_dim,depth,mae_train,mae_test
64,1,0.050954606384038925,0.058690521866083145
64,2,0.028793133795261383,0.037519682198762894
64,3,0.01315468829125166,0.01714160665869713
64,4,0.01235261932015419,0.014938765205442905
64,5,0.011310442350804806,0.011809367686510086
64,6,0.012108528055250645,0.012803194113075733
128,1,0.06426344811916351,0.09494666755199432
128,2,0.026485459879040718,0.03692540526390076
128,3,0.013072795234620571,0.01621689274907112
128,4,0.011745947413146496,0.012948187068104744
128,5,0.013705538585782051,0.015575754456222057
128,6,0.011675017885863781,0.012033438310027122
256,1,0.06732290983200073,0.0614858940243721
256,2,0.028674302622675896,0.028491657227277756
256,3,0.01438859198242426,0.016237584874033928
256,4,0.013866099528968334,0.015613448806107044
256,5,0.011315588839352131,0.011401102878153324
256,6,0.01741020567715168,0.018912630155682564
512,1,0.11224508285522461,0.11695751547813416
512,2,0.015935173258185387,0.01675337925553322
512,3,0.012543524615466595,0.013844857923686504
512,4,0.014725386165082455,0.015999633818864822
512,5,0.011385805904865265,0.011519969440996647
512,6,0.011257399804890156,0.011454664170742035
1024,1,0.07008863985538483,0.0876115933060646
1024,2,0.016521234065294266,0.017413852736353874
1024,3,0.012587088160216808,0.012809336185455322
1024,4,0.013343039900064468,0.013573420234024525
1024,5,0.011693538166582584,0.011871268972754478
1024,6,0.011480782181024551,0.01175933238118887
